feature,perm_importance_mean,perm_importance_std,model_name,model_accuracy,model_mcc,model_auc
PTGIR,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TMEM184B,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CACNA1G,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
EIF2AK2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
BLVRB,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
OXSR1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SRD5A3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ALOX5,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
HNRNPA1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DPP6,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SBF1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
IL1R2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
MRPS7,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DDX3X,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CBFA2T2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
L1TD1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CDK10,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ABCD2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RAD1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ING4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
COQ4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PITX3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PMM2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ACAA1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TCF21,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PRCP,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ROR1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PDGFA,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ASMT,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CHD9,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
NFKBIB,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RAB3A,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
FGF22,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RHCG,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
MT4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ZBTB1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PDP1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DCLRE1A,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DNASE1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ZMPSTE24,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CAPZA2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
MYCN,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SF3B1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
STK38,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TBL1XR1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
BASP1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
FOXI1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TBRG4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SIPA1L1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TCERG1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
LXN,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SMOX,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ATP1A3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TULP2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ARL4C,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
HSPB6,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ADRA2A,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RHBDF2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
KCTD15,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RPGRIP1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CSNK1G2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
MPV17,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TMX4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
HOXB5,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SCP2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PLA2G2F,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CAMK2B,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PRB4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CD160,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PIGK,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SAMM50,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SDC4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CLEC4E,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PDE6G,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
MTMR9,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
GTF3C5,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RBM5,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CITED2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
COL9A2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
WWTR1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SMARCAL1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ACOT9,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CDC123,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TWF2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SIRT1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CARD9,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CYP2B6,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ASPSCR1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
GPR176,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PAX8,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
HIPK2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
EYA4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
C3orf36,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ZNF467,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SOCS1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
AATF,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
MAZ,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RTF1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
EIF1AX,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
FNDC4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
IARS2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TNIP1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ZNF552,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
GEM,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
FGF3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ARGLU1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ZNF224,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DDRGK1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PCSK1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
HTR2B,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
NFU1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SIGLEC7,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
BPIFA1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ARID4B,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
FBN2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ALB,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
APBB1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CACNA1H,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ARHGEF11,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TAX1BP1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RABEPK,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CHMP4A,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
FHL5,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
B3GALT2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
MEA1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SLC33A1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PIK3R4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
COL4A4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
VPS11,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
GSR,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DIO2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
KCNK13,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CDK5,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SLC6A16,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DSCAM,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
GIN1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PSAT1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ACOT13,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TRAF3IP1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ZG16,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
GHRHR,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
UNC50,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TMEM30B,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
NEIL3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
LPAL2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TRPV5,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PEX13,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
LAMB2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ITGB3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CSN1S1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
BICD2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RNF125,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
NRP1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TES,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CTTN,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
MARK2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TPPP,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DLGAP2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
MRPL4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CHMP5,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RFNG,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PADI4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
KLHL24,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CYP27A1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
USP13,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
LGALS3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
VGLL1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
C1S,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PSORS1C2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
GRK1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PKP1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
C15orf39,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
GTF2H5,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TRIM31,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
FBXL15,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
FLCN,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ZNF639,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
BGN,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
VNN1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TRMT112,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
BTRC,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ULK1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
BCL2L14,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SART3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PLCH1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SIRT7,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CELA3B,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PPA2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
HOMER3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SH3GLB1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TMED1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PCDHGA8,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PCDHGC3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PEX14,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SP3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
B3GALNT1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SLC1A7,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SMPD3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ARHGAP12,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CYP4A11,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
FAM163A,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ERICH1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PPP1R9A,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CD9,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TKTL1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SLIT2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SLC25A20,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ST8SIA1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RPL4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ARAP3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SLC7A4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DBP,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
IPW,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
LUC7L,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CD22,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TIMP3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CLTB,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RALBP1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PITPNB,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SPINT3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
HIF1AN,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ZNF432,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SYN3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DHCR7,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ZNF140,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
B3GALT4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CNGA3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
NCAPH2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
HBBP1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
LPGAT1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TCAP,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ARTN,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DHX30,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RBM39,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
OR1D2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PGLS,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TRPV6,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RNF216,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ADNP,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
FAM216A,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
P4HA1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TNIP3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DR1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CLCA1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RNF7,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TRAPPC3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DRAM1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
OR7C2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SRSF1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
AHR,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PAK2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ATP6V0E1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
LILRA1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
UBD,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
EFNB2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
EIF2S1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
NOX1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DDAH1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DTNB,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
C11orf24,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SPANXB1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TSHZ2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RAB28,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ADCY2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ELP3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DNM3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RRM2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
