geo_accession	title	source_name_ch1	batch	group
GSM2192705	human KRAS G12V mutant form overexpressed in HMEC cells KRAS_G12V_overexpressed_8	Breast	3	kraswt
GSM2192706	human KRAS G12V mutant form overexpressed in HMEC cells KRAS_G12V_overexpressed_9	Breast	3	kraswt
GSM1446195	Control1	MCF10A Cell Line	2	gfp_for_egfr
GSM1446196	MEK1	MCF10A Cell Line	NA	NA
GSM1446197	EGFR1	MCF10A Cell Line	2	egfr
GSM1446198	MEK_EGFR1	MCF10A Cell Line	2	egfr
GSM1446199	Control2	MCF10A Cell Line	2	gfp_for_egfr
GSM1446200	MEK2	MCF10A Cell Line	NA	NA
GSM1446201	EGFR2	MCF10A Cell Line	2	egfr
GSM1446202	MEK_EGFR2	MCF10A Cell Line	2	egfr
GSM1446203	Control3	MCF10A Cell Line	2	gfp_for_egfr
GSM1446204	MEK3	MCF10A Cell Line	NA	NA
GSM1446205	EGFR3	MCF10A Cell Line	2	egfr
GSM1446206	MEK_EGFR3	MCF10A Cell Line	2	egfr
GSM1446207	Control4	MCF10A Cell Line	2	gfp_for_egfr
GSM1446208	MEK4	MCF10A Cell Line	NA	NA
GSM1446209	EGFR4	MCF10A Cell Line	2	egfr
GSM1446210	MEK_EGFR4	MCF10A Cell Line	2	egfr
GSM1446211	EGFR5	MCF10A Cell Line	2	egfr
GSM1446212	MEK_EGFR5	MCF10A Cell Line	2	egfr
GSM1446213	MEK5	MCF10A Cell Line	NA	NA
GSM1446214	Control5	MCF10A Cell Line	2	gfp_for_egfr
GSM1446215	Control6	MCF10A Cell Line	2	gfp_for_egfr
GSM1446216	MEK6	MCF10A Cell Line	NA	NA
GSM1446217	EGFR6	MCF10A Cell Line	2	egfr
GSM1446218	MEK_EGFR6	MCF10A Cell Line	2	egfr
