metric,classifier,adjuster,dataset,column,value
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9106
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9499
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8567
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9641
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9612
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9074
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9477
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8506
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9685
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9646
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8907
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9498
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8595
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9667
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9601
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9145
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9511
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8627
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9692
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9586
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.925
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9509
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8594
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.972
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9654
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9011
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9499
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8572
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9703
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9628
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9043
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9466
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8474
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9666
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9614
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8949
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9511
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8604
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9662
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9629
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.909
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9544
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.871
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9701
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9659
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.913
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9499
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8579
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9635
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.96
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9149
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.951
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.861
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9628
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9614
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9138
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9533
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8662
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9672
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9643
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9141
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.951
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8601
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9658
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9615
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9138
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9499
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8565
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9686
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9629
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9045
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9543
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8691
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.968
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9658
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9136
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.95
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8568
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9623
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.963
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9041
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9489
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8536
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9651
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9643
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8955
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9512
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8601
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9709
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9645
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9049
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9522
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8635
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9671
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9645
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9069
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9477
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8498
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9669
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9628
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8949
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9502
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8587
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9694
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9617
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9117
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9555
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8735
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9667
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9643
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9245
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9496
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8546
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9651
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9614
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9073
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.95
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8556
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9661
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9644
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8988
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9522
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8651
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9677
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9599
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.925
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9532
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8644
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9637
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9643
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.912
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9544
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8711
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9666
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9629
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9253
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9488
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.853
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.966
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9629
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8987
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9477
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8497
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9657
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9641
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8884
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9466
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8457
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.971
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9586
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9017
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.951
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8595
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9707
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9643
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9043
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9477
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8493
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9666
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9644
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8891
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9499
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8574
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9685
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9645
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9009
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9497
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8563
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9644
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9627
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9036
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9509
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8611
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.965
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9647
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9068
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9489
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.853
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.964
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9628
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9005
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9531
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8665
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9671
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9627
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9187
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9509
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8597
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9646
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9627
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9095
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9511
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8618
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9672
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9601
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9193
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9522
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8638
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.965
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.963
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9141
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9534
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8679
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9673
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9644
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9147
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.95
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8559
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9653
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9643
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8996
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9533
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8668
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9673
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9643
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9152
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9544
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.869
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9718
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9645
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9189
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9544
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8684
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9663
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9672
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9087
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9512
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8599
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9678
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9645
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9036
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9489
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8551
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9655
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.962
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.907
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9456
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8441
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.962
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9616
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8885
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9478
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8492
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9726
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9644
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8886
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.951
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8606
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.966
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9612
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9132
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9502
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8554
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9649
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9659
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8936
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.95
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8564
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9671
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9642
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8986
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9555
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8722
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9701
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.967
