encoder_layer_size,adversarial_weight,epochs,lr,reg,dropout_rate,batch_mean,std_batch,true_mean,std_true,criteria
128,0.01,400,15,0.0,0.1,0.916498,0.009572,0.826406,0.018927,3.215531
256,0.01,400,15,0.0,0.1,0.882774,0.010111,0.671531,0.024156,2.474881
128,0.05,400,15,0.0,0.1,0.922934,0.006461,0.810579,0.017256,3.129962
256,0.05,400,15,0.0,0.1,0.886406,0.009530,0.679111,0.024741,2.509151
128,0.001,400,15,0.0,0.01,0.955056,0.007570,0.931277,0.009312,3.701331
256,0.001,400,15,0.0,0.01,0.939948,0.009445,0.928579,0.008278,3.702948
128,0.01,400,15,0.0,0.01,0.924377,0.009172,0.866617,0.015469,3.408706
256,0.01,400,15,0.0,0.01,0.912397,0.013711,0.820126,0.011505,3.188233
128,0.05,400,15,0.0,0.01,0.905666,0.011545,0.820747,0.012226,3.198070
256,0.05,400,15,0.0,0.01,0.912823,0.007144,0.812944,0.016070,3.151897
128,0.001,400,15,0.0,0.5,0.845204,0.013739,0.917436,0.010181,3.741979
256,0.001,400,15,0.0,0.5,0.828078,0.017364,0.924779,0.006045,3.795817
128,0.01,400,15,0.0,0.5,0.906789,0.008938,0.690679,0.032654,2.546604
256,0.01,400,15,0.0,0.5,0.855373,0.012190,0.612046,0.038155,2.204858
128,0.05,400,15,0.0,0.5,0.818752,0.018100,0.572848,0.031302,2.045487
256,0.05,400,15,0.0,0.5,0.804320,0.018125,0.585388,0.027295,2.122620
128,0.001,400,5,0.001,0.1,0.798558,0.020533,0.898950,0.008468,3.696191
256,0.001,400,5,0.001,0.1,0.765353,0.026184,0.901898,0.010105,3.744136
128,0.01,400,5,0.001,0.1,0.909490,0.010005,0.860805,0.011444,3.394536
256,0.01,400,5,0.001,0.1,0.856964,0.011230,0.846236,0.016617,3.374218
128,0.05,400,5,0.001,0.1,0.839267,0.014440,0.840922,0.018598,3.365341
256,0.05,400,5,0.001,0.1,0.812284,0.012107,0.874684,0.012732,3.561137
128,0.001,400,5,0.001,0.01,0.816861,0.018548,0.914295,0.012749,3.754616
256,0.001,400,5,0.001,0.01,0.777816,0.017439,0.901738,0.008350,3.730872
128,0.01,400,5,0.001,0.01,0.907956,0.011996,0.903196,0.006394,3.608022
256,0.01,400,5,0.001,0.01,0.899868,0.011732,0.914342,0.007554,3.671840
128,0.05,400,5,0.001,0.01,0.893644,0.005728,0.904655,0.010330,3.629629
256,0.05,400,5,0.001,0.01,0.910368,0.009547,0.885484,0.016807,3.517053
128,0.001,400,5,0.001,0.5,0.791191,0.027089,0.900823,0.011417,3.712923
256,0.001,400,5,0.001,0.5,0.776482,0.020032,0.903163,0.007531,3.739331
128,0.01,400,5,0.001,0.5,0.946637,0.006278,0.868362,0.015647,3.395170
256,0.01,400,5,0.001,0.5,0.951152,0.007073,0.895119,0.013870,3.524444
128,0.05,400,5,0.001,0.5,0.857483,0.006596,0.769864,0.022819,2.991838
256,0.05,400,5,0.001,0.5,0.628383,0.026122,0.549509,0.031556,2.119163
128,0.001,400,10,0.001,0.1,0.757842,0.024025,0.907367,0.010933,3.778993
256,0.001,400,10,0.001,0.1,0.769787,0.021176,0.907387,0.012254,3.767148
128,0.01,400,10,0.001,0.1,0.841545,0.008285,0.750025,0.020391,2.908579
256,0.01,400,10,0.001,0.1,0.954924,0.004846,0.669909,0.030314,2.394618
128,0.05,400,10,0.001,0.1,0.825234,0.010244,0.788383,0.018049,3.116679
256,0.05,400,10,0.001,0.1,0.898419,0.013429,0.676193,0.035436,2.482547
128,0.001,400,10,0.001,0.01,0.792818,0.015898,0.910335,0.010203,3.758857
256,0.001,400,10,0.001,0.01,0.785469,0.021845,0.908081,0.007882,3.754937
128,0.01,400,10,0.001,0.01,0.926072,0.011316,0.790979,0.013726,3.028825
256,0.01,400,10,0.001,0.01,0.915491,0.009100,0.806476,0.019853,3.116891
128,0.05,400,10,0.001,0.01,0.945537,0.008695,0.856726,0.015227,3.338094
256,0.05,400,10,0.001,0.01,0.931023,0.008570,0.796452,0.021732,3.051236
256,0.001,400,10,0.001,0.5,0.775883,0.024124,0.908779,0.007118,3.768009
128,0.01,400,10,0.001,0.5,0.796543,0.018377,0.596143,0.023986,2.184174
256,0.01,400,10,0.001,0.5,0.649759,0.024998,0.553041,0.023379,2.115447
128,0.05,400,10,0.001,0.5,0.754727,0.022228,0.564566,0.045973,2.068104
256,0.05,400,10,0.001,0.5,0.643900,0.023685,0.550136,0.025517,2.106782
128,0.001,400,15,0.001,0.1,0.748313,0.025783,0.906337,0.011553,3.783371
128,0.002,400,5,0.0001,0.1,0.992229,0.001846,0.908155,0.011630,3.548546
256,0.002,400,5,0.0001,0.1,0.994399,0.001981,0.914518,0.015865,3.578191
128,0.02,400,5,0.0001,0.1,0.969022,0.005182,0.871230,0.016249,3.387126
256,0.02,400,5,0.0001,0.1,0.911188,0.008344,0.849283,0.016703,3.335225
128,0.005,400,5,0.0001,0.1,0.989028,0.003550,0.908998,0.012048,3.555960
256,0.005,400,5,0.0001,0.1,0.981840,0.002767,0.890088,0.010476,3.468601
128,0.002,400,5,0.0001,0.2,0.993266,0.001619,0.902989,0.012501,3.521678
256,0.002,400,5,0.0001,0.2,0.993404,0.002327,0.899877,0.013321,3.505982
128,0.02,400,5,0.0001,0.2,0.929677,0.010397,0.839106,0.015079,3.265853
256,0.02,400,5,0.0001,0.2,0.851940,0.016441,0.641806,0.041484,2.357091
128,0.005,400,5,0.0001,0.2,0.982412,0.004299,0.891318,0.014183,3.474176
256,0.005,400,5,0.0001,0.2,0.982398,0.003764,0.883111,0.011132,3.433157
128,0.002,400,5,0.0001,0.5,0.953336,0.009956,0.916729,0.008286,3.630308
256,0.002,400,5,0.0001,0.5,0.885092,0.018619,0.915540,0.011423,3.692607
128,0.02,400,5,0.0001,0.5,0.953425,0.007965,0.859185,0.011498,3.342502
256,0.02,400,5,0.0001,0.5,0.664613,0.022672,0.554169,0.032082,2.106230
128,0.005,400,5,0.0001,0.5,0.965954,0.005667,0.820329,0.023576,3.135691
256,0.005,400,5,0.0001,0.5,0.943208,0.008631,0.883310,0.016815,3.473341
128,0.002,400,10,0.0001,0.1,0.937007,0.007870,0.906624,0.009442,3.596112
256,0.002,400,10,0.0001,0.1,0.921315,0.012607,0.925879,0.012904,3.708081
128,0.02,400,10,0.0001,0.1,0.929824,0.007411,0.785194,0.023261,2.996145
256,0.02,400,10,0.0001,0.1,0.911811,0.009233,0.759551,0.028901,2.885943
128,0.005,400,10,0.0001,0.1,0.894953,0.009689,0.852773,0.015401,3.368912
256,0.005,400,10,0.0001,0.1,0.927754,0.011829,0.867523,0.019182,3.409860
128,0.002,400,10,0.0001,0.2,0.979267,0.004490,0.920352,0.011195,3.622495
256,0.002,400,10,0.0001,0.2,0.933585,0.008602,0.935557,0.009639,3.744200
128,0.02,400,10,0.0001,0.2,0.892334,0.010180,0.790839,0.014185,3.061860
256,0.02,400,10,0.0001,0.2,0.671093,0.016686,0.558071,0.030874,2.119259
128,0.005,400,10,0.0001,0.2,0.964446,0.005068,0.881206,0.010502,3.441586
256,0.005,400,10,0.0001,0.2,0.855623,0.014927,0.808368,0.024829,3.186216
128,0.002,400,10,0.0001,0.5,0.963276,0.007039,0.907837,0.011391,3.575909
256,0.002,400,10,0.0001,0.5,0.791371,0.016945,0.923308,0.007267,3.825172
128,0.02,400,10,0.0001,0.5,0.665527,0.017975,0.531326,0.028850,1.991101
256,0.02,400,10,0.0001,0.5,0.824137,0.013087,0.596216,0.038428,2.156941
128,0.005,400,10,0.0001,0.5,0.949409,0.006860,0.900848,0.008541,3.554830
256,0.005,400,10,0.0001,0.5,0.959649,0.005717,0.853787,0.018001,3.309286
128,0.002,400,15,0.0001,0.1,0.877298,0.017042,0.929277,0.007419,3.769086
256,0.002,400,15,0.0001,0.1,0.950711,0.008641,0.932642,0.009429,3.712501
128,0.02,400,15,0.0001,0.1,0.902614,0.013799,0.677556,0.025161,2.485166
256,0.02,400,15,0.0001,0.1,0.891024,0.014287,0.689926,0.025344,2.558605
128,0.005,400,15,0.0001,0.1,0.924010,0.010597,0.830973,0.019471,3.230857
256,0.005,400,15,0.0001,0.1,0.884646,0.010848,0.929960,0.009705,3.765152
128,0.002,400,15,0.0001,0.2,0.796492,0.017785,0.930881,0.009706,3.857912
256,0.002,400,15,0.0001,0.2,0.911438,0.010425,0.930563,0.006924,3.741378
128,0.02,400,15,0.0001,0.2,0.906441,0.009261,0.605286,0.031950,2.119990
256,0.02,400,15,0.0001,0.2,0.878249,0.009017,0.651159,0.019102,2.377548
128,0.005,400,15,0.0001,0.2,0.777941,0.013903,0.926958,0.006506,3.856850
256,0.005,400,15,0.0001,0.2,0.793603,0.013004,0.926476,0.013461,3.838775
128,0.002,400,15,0.0001,0.5,0.906597,0.011879,0.907775,0.007779,3.632276
256,0.002,400,15,0.0001,0.5,0.772302,0.026483,0.917828,0.004963,3.816836
128,0.02,400,15,0.0001,0.5,0.667030,0.025907,0.549922,0.028314,2.082579
256,0.02,400,15,0.0001,0.5,0.823137,0.014422,0.579290,0.042989,2.073311
128,0.005,400,15,0.0001,0.5,0.943671,0.013569,0.891076,0.011292,3.511710
256,0.005,400,15,0.0001,0.5,0.913763,0.014753,0.860344,0.010236,3.387955
128,0.002,400,5,0.001,0.1,0.902874,0.013061,0.923123,0.014341,3.712740
256,0.002,400,5,0.001,0.1,0.905975,0.013051,0.917728,0.010061,3.682663
128,0.02,400,5,0.001,0.1,0.897566,0.010166,0.860824,0.015680,3.406553
256,0.02,400,5,0.001,0.1,0.881671,0.007669,0.842015,0.018984,3.328404
128,0.005,400,5,0.001,0.1,0.936192,0.006431,0.913388,0.004255,3.630745
256,0.005,400,5,0.001,0.1,0.941418,0.010466,0.922814,0.009395,3.672653
128,0.002,400,5,0.001,0.2,0.918277,0.008241,0.903408,0.011721,3.598762
256,0.002,400,5,0.001,0.2,0.834791,0.018144,0.894899,0.009327,3.639706
128,0.02,400,5,0.001,0.2,0.886575,0.015079,0.874005,0.018291,3.483452
256,0.02,400,5,0.001,0.2,0.799039,0.019971,0.711243,0.024506,2.757176
128,0.005,400,5,0.001,0.2,0.905567,0.007500,0.879741,0.008206,3.493136
256,0.005,400,5,0.001,0.2,0.939708,0.009376,0.880963,0.008491,3.465108
