minibatch_size	ds_layers	ae_layers	code_size	scaling	loss_weight	minibatch_iterations	learning_rate	batch_value	batch_unadjusted_value	batch_score	class_value	class_unadjusted_value	class_score	batch_rank	class_rank	combined_rank
50	20	5	20	linear	2	1000	1e-4	0.592948717948718	0.9387820512820513	0.3458333333333333	0.6708333333333333	0.7076388888888889	-0.03680555555555565	0.8522860492379836	0.7737397420867527	0.8130128956623681
50	20	10	10	sigmoid	2	1000	0.001	0.603525641025641	0.9387820512820513	0.3352564102564103	0.6780092592592593	0.7076388888888889	-0.029629629629629672	0.8370457209847597	0.7854630715123095	0.8112543962485346
100	20	2	20	linear	1	1000	0.001	0.6969551282051282	0.9387820512820513	0.2418269230769231	0.8997685185185186	0.7076388888888889	0.19212962962962965	0.6178194607268465	0.9988276670574443	0.8083235638921453
100	20	2	20	sigmoid	1	1000	0.001	0.5738782051282051	0.9387820512820513	0.3649038461538462	0.6465277777777778	0.7076388888888889	-0.061111111111111116	0.8745603751465416	0.7409144196951934	0.8077373974208675
50	5	2	50	sigmoid	2	10000	1e-4	0.594551282051282	0.9387820512820513	0.34423076923076923	0.6652777777777777	0.7076388888888889	-0.04236111111111118	0.8499413833528722	0.7620164126611958	0.8059788980070339
100	5	2	50	linear	1	1000	0.001	0.6514423076923076	0.9387820512820513	0.2873397435897437	0.7326388888888888	0.7076388888888889	0.02499999999999991	0.7420867526377491	0.8686987104337632	0.8053927315357562
100	20	10	20	linear	2	1000	1e-4	0.6690705128205128	0.9387820512820513	0.2697115384615385	0.7599537037037037	0.7076388888888889	0.052314814814814814	0.6998827667057445	0.9085580304806565	0.8042203985932005
100	5	10	10	linear	2	1000	1e-4	0.6756410256410256	0.9387820512820513	0.2631410256410257	0.7648148148148148	0.7076388888888889	0.05717592592592591	0.6875732708089097	0.9185228604923799	0.8030480656506448
100	10	5	10	linear	1	1000	1e-4	0.6608974358974359	0.9387820512820513	0.2778846153846154	0.7460648148148148	0.7076388888888889	0.03842592592592586	0.716295427901524	0.8898007033997656	0.8030480656506448
100	20	2	20	sigmoid	2	1000	1e-4	0.5089743589743589	0.9387820512820513	0.42980769230769234	0.6018518518518519	0.7076388888888889	-0.10578703703703707	0.958968347010551	0.6459554513481829	0.8024618991793669
100	5	5	20	linear	1	1000	1e-4	0.6467948717948718	0.9387820512820513	0.29198717948717945	0.7168981481481482	0.7076388888888889	0.0092592592592593	0.753810082063306	0.8464243845252052	0.8001172332942557
50	20	2	50	linear	2	1000	0.001	0.6873397435897436	0.9387820512820513	0.2514423076923077	0.799074074074074	0.7076388888888889	0.09143518518518512	0.6512309495896834	0.9449003516998827	0.7980656506447831
50	10	2	10	sigmoid	2	10000	1e-4	0.6176282051282052	0.9387820512820513	0.3211538461538461	0.6756944444444445	0.7076388888888889	-0.03194444444444444	0.8089097303634232	0.7831184056271981	0.7960140679953107
50	5	10	20	linear	2	1000	0.001	0.7014423076923078	0.9387820512820513	0.23733974358974352	0.8342592592592594	0.7076388888888889	0.12662037037037044	0.6060961313012896	0.9835873388042204	0.794841735052755
100	5	2	20	linear	1	1000	1e-4	0.6581730769230769	0.9387820512820513	0.28060897435897436	0.7266203703703704	0.7076388888888889	0.018981481481481488	0.7256740914419695	0.8587338804220399	0.7922039859320047
100	20	5	50	sigmoid	2	1000	0.001	0.5868589743589744	0.9387820512820513	0.3519230769230769	0.6324074074074074	0.7076388888888889	-0.07523148148148151	0.8581477139507621	0.7209847596717468	0.7895662368112544
100	20	2	20	sigmoid	2	1000	0.001	0.5415064102564102	0.9387820512820513	0.39727564102564106	0.6027777777777777	0.7076388888888889	-0.10486111111111118	0.9249706916764361	0.652989449003517	0.7889800703399765
100	5	2	20	sigmoid	1	1000	0.001	0.5248397435897435	0.9387820512820513	0.4139423076923078	0.5986111111111111	0.7076388888888889	-0.10902777777777783	0.94021101992966	0.6359906213364596	0.7881008206330598
50	5	2	10	sigmoid	1	1000	1e-4	0.6102564102564103	0.9387820512820513	0.32852564102564097	0.6530092592592592	0.7076388888888889	-0.054629629629629695	0.8241500586166471	0.7514654161781946	0.7878077373974208
100	10	2	50	sigmoid	2	10000	1e-4	0.6559294871794872	0.9387820512820513	0.2828525641025641	0.7106481481481481	0.7076388888888889	0.0030092592592592116	0.735052754982415	0.8399765533411488	0.7875146541617819
50	20	10	50	sigmoid	2	1000	1e-4	0.523076923076923	0.9387820512820513	0.4157051282051283	0.5960648148148148	0.7076388888888889	-0.11157407407407416	0.9425556858147714	0.6307151230949589	0.7866354044548651
50	5	2	50	linear	2	1000	1e-4	0.615224358974359	0.9387820512820513	0.32355769230769227	0.6643518518518519	0.7076388888888889	-0.04328703703703707	0.8124267291910903	0.7596717467760844	0.7860492379835873
100	20	10	10	sigmoid	1	1000	1e-4	0.5653846153846154	0.9387820512820513	0.3733974358974359	0.6155092592592593	0.7076388888888889	-0.09212962962962967	0.8874560375146542	0.6822977725674091	0.7848769050410316
50	10	10	20	sigmoid	2	1000	0.001	0.5865384615384616	0.9387820512820513	0.3522435897435897	0.6284722222222222	0.7076388888888889	-0.07916666666666672	0.8593200468933178	0.7075029308323564	0.7834114888628371
50	5	10	10	sigmoid	1	1000	0.001	0.5743589743589744	0.9387820512820513	0.36442307692307685	0.6189814814814815	0.7076388888888889	-0.08865740740740746	0.8733880422039859	0.6928487690504103	0.783118405627198
100	10	10	50	linear	1	1000	0.001	0.7040064102564103	0.9387820512820513	0.23477564102564097	0.8152777777777778	0.7076388888888889	0.10763888888888884	0.597303634232122	0.9624853458382181	0.7798944900351701
100	20	10	20	sigmoid	1	1000	1e-4	0.5177884615384615	0.9387820512820513	0.4209935897435898	0.5875	0.7076388888888889	-0.1201388888888889	0.9484173505275498	0.6107854630715123	0.779601406799531
50	10	5	10	sigmoid	2	10000	0.001	0.6121794871794872	0.9387820512820513	0.32660256410256405	0.6449074074074074	0.7076388888888889	-0.06273148148148155	0.8194607268464243	0.7379835873388042	0.7787221570926143
100	10	2	10	linear	2	1000	1e-4	0.6967948717948718	0.9387820512820513	0.24198717948717952	0.7881944444444444	0.7076388888888889	0.08055555555555549	0.6189917936694022	0.9378663540445487	0.7784290738569755
50	10	2	50	sigmoid	2	1000	0.001	0.5551282051282052	0.9387820512820513	0.3836538461538461	0.6025462962962963	0.7076388888888889	-0.10509259259259263	0.9050410316529894	0.6506447831184057	0.7778429073856976
50	10	2	20	linear	2	1000	0.001	0.5524038461538462	0.9387820512820513	0.3863782051282051	0.5988425925925926	0.7076388888888889	-0.10879629629629628	0.9144196951934349	0.638335287221571	0.776377491207503
50	5	5	20	linear	2	1000	1e-4	0.6798076923076923	0.9387820512820513	0.25897435897435894	0.7421296296296297	0.7076388888888889	0.034490740740740766	0.6723329425556858	0.8792497069167644	0.7757913247362251
50	20	10	20	sigmoid	2	1000	0.001	0.6291666666666667	0.9387820512820513	0.3096153846153846	0.6655092592592593	0.7076388888888889	-0.04212962962962963	0.7866354044548651	0.7643610785463072	0.7754982415005862
50	20	5	50	sigmoid	1	1000	1e-4	0.6373397435897437	0.9387820512820513	0.3014423076923076	0.6694444444444445	0.7076388888888889	-0.03819444444444442	0.772567409144197	0.7713950762016413	0.7719812426729191
100	10	10	20	linear	2	1000	1e-4	0.6572115384615386	0.9387820512820513	0.2815705128205127	0.6875	0.7076388888888889	-0.02013888888888893	0.7280187573270809	0.8100820633059789	0.7690504103165299
50	10	5	50	sigmoid	1	10000	1e-4	0.6682692307692308	0.9387820512820513	0.27051282051282044	0.7041666666666667	0.7076388888888889	-0.00347222222222221	0.7022274325908558	0.8300117233294255	0.7661195779601406
100	10	5	50	sigmoid	2	1000	0.001	0.5649038461538461	0.9387820512820513	0.37387820512820513	0.6	0.7076388888888889	-0.10763888888888895	0.8898007033997656	0.6424384525205158	0.7661195779601406
100	5	10	50	linear	1	1000	1e-4	0.6729166666666667	0.9387820512820513	0.26586538461538456	0.7106481481481481	0.7076388888888889	0.0030092592592592116	0.6916764361078547	0.8399765533411488	0.7658264947245017
100	10	10	20	linear	1	1000	1e-4	0.6525641025641026	0.9387820512820513	0.2862179487179487	0.680787037037037	0.7076388888888889	-0.026851851851851904	0.7373974208675264	0.7924970691676436	0.7649472450175849
50	10	2	50	linear	1	1000	1e-4	0.6791666666666667	0.9387820512820513	0.2596153846153846	0.7224537037037038	0.7076388888888889	0.014814814814814836	0.6758499413833529	0.8511137162954279	0.7634818288393903
50	10	5	10	linear	1	1000	0.001	0.7136217948717949	0.9387820512820513	0.2251602564102564	0.8162037037037038	0.7076388888888889	0.10856481481481484	0.5592028135990621	0.9671746776084408	0.7631887456037514
50	5	5	50	sigmoid	2	10000	0.001	0.6070512820512821	0.9387820512820513	0.33173076923076916	0.6175925925925926	0.7076388888888889	-0.09004629629629635	0.8288393903868698	0.6893317702227433	0.7590855803048066
100	20	2	20	sigmoid	1	1000	1e-4	0.5472756410256411	0.9387820512820513	0.3915064102564102	0.579861111111111	0.7076388888888889	-0.12777777777777788	0.9191090269636577	0.597303634232122	0.7582063305978899
100	20	5	10	linear	2	1000	0.001	0.6959935897435897	0.9387820512820513	0.24278846153846156	0.7481481481481481	0.7076388888888889	0.04050925925925919	0.6254396248534584	0.8909730363423212	0.7582063305978898
100	20	5	20	linear	2	1000	1e-4	0.7275641025641025	0.9387820512820513	0.21121794871794874	0.8689814814814815	0.7076388888888889	0.16134259259259254	0.5216881594372802	0.9941383352872216	0.757913247362251
50	10	2	20	linear	1	1000	1e-4	0.6991987179487179	0.9387820512820513	0.23958333333333337	0.7560185185185185	0.7076388888888889	0.048379629629629606	0.6143024618991794	0.9015240328253223	0.7579132473622509
100	10	2	50	linear	2	1000	0.001	0.6833333333333333	0.9387820512820513	0.25544871794871793	0.7173611111111111	0.7076388888888889	0.009722222222222188	0.6647127784290738	0.8475967174677609	0.7561547479484174
50	5	2	10	linear	2	1000	1e-4	0.7099358974358975	0.9387820512820513	0.2288461538461538	0.7875	0.7076388888888889	0.07986111111111105	0.5720984759671747	0.936694021101993	0.7543962485345839
50	5	2	20	sigmoid	2	1000	0.001	0.6043269230769232	0.9387820512820513	0.3344551282051281	0.6108796296296297	0.7076388888888889	-0.09675925925925921	0.8323563892145369	0.675263774912075	0.753810082063306
50	20	2	20	sigmoid	1	1000	1e-4	0.5043269230769231	0.9387820512820513	0.4344551282051282	0.5625	0.7076388888888889	-0.14513888888888893	0.9636576787807737	0.5433763188745604	0.7535169988276671
100	20	2	50	linear	2	1000	0.001	0.7320512820512821	0.9387820512820513	0.20673076923076916	0.8895833333333333	0.7076388888888889	0.18194444444444435	0.5087924970691676	0.9964830011723329	0.7526377491207503
50	20	10	10	linear	2	1000	0.001	0.6711538461538461	0.9387820512820513	0.2676282051282052	0.6870370370370371	0.7076388888888889	-0.020601851851851816	0.6951934349355217	0.8089097303634232	0.7520515826494725
50	5	10	10	sigmoid	1	10000	0.001	0.6881410256410256	0.9387820512820513	0.25064102564102564	0.7236111111111112	0.7076388888888889	0.015972222222222276	0.6477139507620164	0.8558030480656507	0.7517584994138335
50	5	10	20	sigmoid	2	1000	0.001	0.49086538461538465	0.9387820512820513	0.44791666666666663	0.5578703703703703	0.7076388888888889	-0.14976851851851858	0.9730363423212193	0.52989449003517	0.7514654161781946
100	5	10	20	linear	1	1000	1e-4	0.7240384615384616	0.9387820512820513	0.21474358974358965	0.8224537037037036	0.7076388888888889	0.1148148148148147	0.52989449003517	0.9718640093786636	0.7508792497069168
50	5	2	20	sigmoid	1	1000	1e-4	0.5272435897435898	0.9387820512820513	0.4115384615384615	0.56875	0.7076388888888889	-0.13888888888888895	0.9378663540445487	0.5627198124267292	0.7502930832356389
50	10	5	50	linear	1	1000	1e-4	0.7056089743589744	0.9387820512820513	0.23317307692307687	0.7587962962962963	0.7076388888888889	0.051157407407407374	0.5920281359906213	0.906799531066823	0.7494138335287222
50	5	10	10	linear	1	1000	1e-4	0.6838141025641026	0.9387820512820513	0.2549679487179487	0.7076388888888889	0.7076388888888889	0	0.6623681125439624	0.8347010550996483	0.7485345838218054
100	10	5	10	sigmoid	1	1000	1e-4	0.6607371794871795	0.9387820512820513	0.2780448717948718	0.6747685185185185	0.7076388888888889	-0.03287037037037044	0.7174677608440797	0.7790152403282532	0.7482415005861665
50	10	5	10	sigmoid	2	1000	1e-4	0.5855769230769231	0.9387820512820513	0.35320512820512817	0.5969907407407407	0.7076388888888889	-0.11064814814814827	0.8622508792497069	0.6318874560375146	0.7470691676436108
100	20	5	10	sigmoid	1	1000	0.001	0.604326923076923	0.9387820512820513	0.33445512820512824	0.6055555555555556	0.7076388888888889	-0.1020833333333333	0.8341148886283705	0.6600234466588512	0.7470691676436108
100	5	5	20	sigmoid	1	1000	1e-4	0.5072115384615384	0.9387820512820513	0.43157051282051284	0.5585648148148148	0.7076388888888889	-0.14907407407407414	0.9624853458382181	0.5310668229777257	0.7467760844079718
100	5	5	10	linear	2	1000	1e-4	0.7141025641025641	0.9387820512820513	0.22467948717948716	0.7868055555555556	0.7076388888888889	0.07916666666666672	0.5574443141852286	0.9355216881594373	0.7464830011723329
50	5	5	20	sigmoid	2	1000	1e-4	0.5209935897435898	0.9387820512820513	0.4177884615384615	0.5625000000000001	0.7076388888888889	-0.14513888888888882	0.9449003516998827	0.5451348182883939	0.7450175849941383
50	5	2	50	sigmoid	2	1000	1e-4	0.6275641025641026	0.9387820512820513	0.3112179487179487	0.6217592592592592	0.7076388888888889	-0.0858796296296297	0.7901524032825322	0.6981242672919109	0.7441383352872215
100	10	2	20	linear	1	1000	0.001	0.7142628205128205	0.9387820512820513	0.22451923076923075	0.7831018518518519	0.7076388888888889	0.07546296296296295	0.5550996483001173	0.9296600234466589	0.7423798358733881
50	5	2	50	sigmoid	1	1000	0.001	0.5650641025641026	0.9387820512820513	0.3737179487179487	0.5793981481481482	0.7076388888888889	-0.12824074074074077	0.8886283704572099	0.5943728018757327	0.7415005861664713
100	5	10	10	sigmoid	1	1000	0.001	0.641025641025641	0.9387820512820513	0.2977564102564103	0.6291666666666667	0.7076388888888889	-0.07847222222222228	0.7678780773739742	0.712778429073857	0.7403282532239156
50	20	10	20	sigmoid	2	1000	1e-4	0.5155448717948719	0.9387820512820513	0.4232371794871794	0.556712962962963	0.7076388888888889	-0.1509259259259259	0.9531066822977726	0.5263774912075029	0.7397420867526378
50	5	10	50	sigmoid	1	1000	0.001	0.5713141025641025	0.9387820512820513	0.36746794871794874	0.579861111111111	0.7076388888888889	-0.12777777777777788	0.8792497069167644	0.597303634232122	0.7382766705744432
100	20	5	20	sigmoid	2	1000	0.001	0.6762820512820513	0.9387820512820513	0.26249999999999996	0.6800925925925927	0.7076388888888889	-0.027546296296296235	0.6846424384525205	0.7913247362250879	0.7379835873388042
50	5	5	20	sigmoid	2	10000	0.001	0.6508012820512821	0.9387820512820513	0.2879807692307692	0.6405092592592593	0.7076388888888889	-0.06712962962962965	0.7444314185228605	0.7303634232121923	0.7373974208675265
100	5	5	50	sigmoid	2	1000	0.001	0.4358974358974359	0.9387820512820513	0.5028846153846154	0.5474537037037037	0.7076388888888889	-0.1601851851851852	0.9929660023446659	0.48007033997655335	0.7365181711606097
50	5	10	50	sigmoid	1	10000	1e-4	0.6879807692307692	0.9387820512820513	0.25080128205128205	0.6949074074074074	0.7076388888888889	-0.01273148148148151	0.64947245017585	0.8218053927315357	0.7356389214536929
100	10	5	50	linear	2	1000	0.001	0.6931089743589743	0.9387820512820513	0.24567307692307694	0.7076388888888889	0.7076388888888889	0	0.6365767878077374	0.8347010550996483	0.7356389214536929
100	5	10	50	linear	1	1000	0.001	0.6817307692307693	0.9387820512820513	0.257051282051282	0.6858796296296296	0.7076388888888889	-0.021759259259259367	0.6670574443141852	0.8030480656506448	0.7350527549824151
100	5	2	10	sigmoid	2	1000	0.001	0.6189102564102564	0.9387820512820513	0.31987179487179485	0.6057870370370371	0.7076388888888889	-0.10185185185185186	0.8065650644783119	0.6617819460726846	0.7341735052754983
100	10	2	20	linear	1	1000	1e-4	0.7333333333333333	0.9387820512820513	0.205448717948718	0.8159722222222223	0.7076388888888889	0.10833333333333339	0.5017584994138335	0.9660023446658851	0.7338804220398594
50	20	2	20	sigmoid	2	1000	0.001	0.42115384615384616	0.9387820512820513	0.5176282051282051	0.5444444444444445	0.7076388888888889	-0.16319444444444442	0.9941383352872216	0.4718640093786635	0.7330011723329426
100	5	10	10	linear	2	1000	0.001	0.7126602564102564	0.9387820512820513	0.22612179487179485	0.7532407407407408	0.7076388888888889	0.04560185185185184	0.5627198124267292	0.9003516998827668	0.731535756154748
100	20	5	20	sigmoid	2	1000	1e-4	0.48381410256410257	0.9387820512820513	0.4549679487179487	0.5476851851851852	0.7076388888888889	-0.15995370370370376	0.9788980070339977	0.4824150058616647	0.7306565064478312
50	10	10	50	linear	1	1000	1e-4	0.697275641025641	0.9387820512820513	0.2415064102564103	0.7157407407407408	0.7076388888888889	0.00810185185185186	0.6166471277842908	0.8440797186400938	0.7303634232121923
100	5	2	50	sigmoid	2	10000	1e-4	0.6791666666666666	0.9387820512820513	0.2596153846153847	0.675462962962963	0.7076388888888889	-0.032175925925925886	0.6776084407971864	0.7819460726846424	0.7297772567409144
50	5	2	10	sigmoid	2	10000	0.001	0.6836538461538462	0.9387820512820513	0.2551282051282051	0.6819444444444445	0.7076388888888889	-0.025694444444444464	0.6635404454865181	0.794841735052755	0.7291910902696366
100	5	10	20	linear	2	1000	0.001	0.7376602564102565	0.9387820512820513	0.20112179487179482	0.8168981481481482	0.7076388888888889	0.10925925925925928	0.4876905041031653	0.9683470105509965	0.7280187573270809
50	5	2	10	sigmoid	2	1000	1e-4	0.48125	0.9387820512820513	0.45753205128205127	0.5444444444444445	0.7076388888888889	-0.16319444444444442	0.981242672919109	0.4718640093786635	0.7265533411488863
50	5	10	10	sigmoid	2	10000	0.001	0.6370192307692307	0.9387820512820513	0.30176282051282055	0.6138888888888889	0.7076388888888889	-0.09375	0.7749120750293084	0.6764361078546307	0.7256740914419695
100	10	5	50	sigmoid	2	1000	1e-4	0.5137820512820513	0.9387820512820513	0.42499999999999993	0.5499999999999999	0.7076388888888889	-0.157638888888889	0.9542790152403282	0.4970691676436108	0.7256740914419695
100	10	2	50	sigmoid	2	1000	1e-4	0.5613782051282051	0.9387820512820513	0.37740384615384615	0.5662037037037037	0.7076388888888889	-0.14143518518518527	0.8968347010550997	0.5539273153575616	0.7253810082063306
100	10	2	50	sigmoid	2	10000	0.001	0.6782051282051281	0.9387820512820513	0.26057692307692315	0.6680555555555556	0.7076388888888889	-0.039583333333333304	0.6799531066822978	0.7678780773739742	0.7239155920281359
50	5	10	50	sigmoid	1	1000	1e-4	0.491025641025641	0.9387820512820513	0.4477564102564103	0.5449074074074074	0.7076388888888889	-0.16273148148148153	0.9718640093786636	0.47479484173505276	0.7233294255568582
50	10	5	10	sigmoid	1	10000	1e-4	0.6625	0.9387820512820513	0.2762820512820513	0.64375	0.7076388888888889	-0.06388888888888888	0.712778429073857	0.7338804220398594	0.7233294255568582
50	20	2	20	linear	1	1000	1e-4	0.6219551282051282	0.9387820512820513	0.31682692307692306	0.6013888888888889	0.7076388888888889	-0.10625000000000007	0.8030480656506448	0.6436107854630715	0.7233294255568581
100	5	5	20	sigmoid	2	1000	1e-4	0.5621794871794872	0.9387820512820513	0.3766025641025641	0.5655092592592592	0.7076388888888889	-0.14212962962962972	0.8944900351699883	0.5515826494724502	0.7230363423212192
50	5	10	20	sigmoid	2	10000	0.001	0.6578525641025641	0.9387820512820513	0.2809294871794872	0.6305555555555555	0.7076388888888889	-0.07708333333333339	0.7268464243845252	0.716295427901524	0.7215709261430245
50	5	10	50	sigmoid	2	1000	1e-4	0.5014423076923077	0.9387820512820513	0.4373397435897436	0.5453703703703704	0.7076388888888889	-0.16226851851851853	0.9660023446658851	0.47596717467760846	0.7209847596717468
100	10	5	20	sigmoid	1	1000	0.001	0.5692307692307692	0.9387820512820513	0.36955128205128207	0.5671296296296297	0.7076388888888889	-0.14050925925925928	0.8839390386869871	0.5568581477139508	0.720398593200469
100	20	10	50	linear	1	1000	1e-4	0.6950320512820513	0.9387820512820513	0.24375000000000002	0.6893518518518519	0.7076388888888889	-0.018287037037037046	0.6295427901524033	0.8112543962485346	0.720398593200469
50	10	2	50	sigmoid	1	10000	1e-4	0.6756410256410256	0.9387820512820513	0.2631410256410257	0.65625	0.7076388888888889	-0.05138888888888893	0.6875732708089097	0.7526377491207503	0.72010550996483
50	20	2	10	linear	1	1000	0.001	0.7241987179487179	0.9387820512820513	0.21458333333333335	0.7606481481481482	0.7076388888888889	0.053009259259259256	0.5287221570926143	0.9109026963657679	0.7198124267291911
100	10	5	50	linear	2	1000	1e-4	0.736698717948718	0.9387820512820513	0.20208333333333328	0.799537037037037	0.7076388888888889	0.09189814814814812	0.492379835873388	0.9472450175849941	0.7198124267291911
50	20	10	50	sigmoid	2	1000	0.001	0.5581730769230769	0.9387820512820513	0.38060897435897434	0.5601851851851852	0.7076388888888889	-0.1474537037037037	0.9003516998827668	0.5363423212192263	0.7183470105509966
50	20	5	20	sigmoid	1	1000	0.001	0.6714743589743589	0.9387820512820513	0.26730769230769236	0.6460648148148148	0.7076388888888889	-0.061574074074074114	0.6928487690504103	0.7397420867526378	0.716295427901524
50	5	5	10	sigmoid	1	10000	1e-4	0.7033653846153846	0.9387820512820513	0.23541666666666672	0.6997685185185185	0.7076388888888889	-0.007870370370370416	0.6025791324736225	0.8264947245017585	0.7145369284876906
100	20	2	20	linear	1	1000	1e-4	0.7219551282051282	0.9387820512820513	0.21682692307692308	0.7525462962962963	0.7076388888888889	0.044907407407407396	0.5322391559202814	0.8968347010550997	0.7145369284876906
50	5	10	50	sigmoid	1	10000	0.001	0.6325320512820513	0.9387820512820513	0.30625	0.6023148148148149	0.7076388888888889	-0.10532407407407407	0.7807737397420867	0.6477139507620164	0.7142438452520516
