minibatch_size	ds_layers	ae_layers	code_size	scaling	loss_weight	minibatch_iterations	learning_rate	dataset	algorithm	iteration	column	value
100	10	10	10	linear	1.0	10000	0.001	100_10_10_10_linear_1.0_10000_0.001.tsv	Support Vector Machines	2	Class	0.4444444444444444
100	10	10	10	linear	1.0	10000	0.001	100_10_10_10_linear_1.0_10000_0.001.tsv	k-nearest Neighbors	1	Batch	0.7346153846153846
100	10	10	10	linear	1.0	10000	0.001	100_10_10_10_linear_1.0_10000_0.001.tsv	k-nearest Neighbors	1	Class	0.5944444444444446
100	10	10	10	linear	1.0	10000	0.001	100_10_10_10_linear_1.0_10000_0.001.tsv	k-nearest Neighbors	2	Batch	0.9788461538461539
100	10	10	10	linear	1.0	10000	0.001	100_10_10_10_linear_1.0_10000_0.001.tsv	k-nearest Neighbors	2	Class	0.41666666666666663
100	10	10	10	linear	1.0	1000	0.0001	100_10_10_10_linear_1.0_1000_0.0001.tsv	Random Forests	1	Class	0.7291666666666666
100	10	10	10	linear	1.0	1000	0.0001	100_10_10_10_linear_1.0_1000_0.0001.tsv	Random Forests	2	Batch	0.8471153846153846
100	10	10	10	linear	1.0	1000	0.0001	100_10_10_10_linear_1.0_1000_0.0001.tsv	Random Forests	2	Class	0.8833333333333333
100	10	10	10	linear	1.0	1000	0.0001	100_10_10_10_linear_1.0_1000_0.0001.tsv	Support Vector Machines	1	Batch	0.7769230769230769
100	10	10	10	linear	1.0	1000	0.0001	100_10_10_10_linear_1.0_1000_0.0001.tsv	Support Vector Machines	1	Class	0.7277777777777779
100	10	10	10	linear	1.0	1000	0.0001	100_10_10_10_linear_1.0_1000_0.0001.tsv	Support Vector Machines	2	Batch	0.7461538461538462
100	10	10	10	linear	1.0	1000	0.0001	100_10_10_10_linear_1.0_1000_0.0001.tsv	Support Vector Machines	2	Class	0.8027777777777778
100	10	10	10	linear	1.0	1000	0.0001	100_10_10_10_linear_1.0_1000_0.0001.tsv	k-nearest Neighbors	1	Batch	0.7634615384615384
100	10	10	10	linear	1.0	1000	0.0001	100_10_10_10_linear_1.0_1000_0.0001.tsv	k-nearest Neighbors	1	Class	0.6416666666666667
100	10	10	10	linear	1.0	1000	0.0001	100_10_10_10_linear_1.0_1000_0.0001.tsv	k-nearest Neighbors	2	Batch	0.7634615384615385
100	10	10	10	linear	1.0	1000	0.0001	100_10_10_10_linear_1.0_1000_0.0001.tsv	k-nearest Neighbors	2	Class	0.7208333333333333
100	10	10	10	linear	1.0	1000	0.001	100_10_10_10_linear_1.0_1000_0.001.tsv	Random Forests	1	Class	0.8222222222222223
100	10	10	10	linear	1.0	1000	0.001	100_10_10_10_linear_1.0_1000_0.001.tsv	Random Forests	2	Batch	0.8134615384615386
100	10	10	10	linear	1.0	1000	0.001	100_10_10_10_linear_1.0_1000_0.001.tsv	Random Forests	2	Class	0.826388888888889
100	10	10	10	linear	1.0	1000	0.001	100_10_10_10_linear_1.0_1000_0.001.tsv	Support Vector Machines	1	Batch	0.7365384615384616
100	10	10	10	linear	1.0	1000	0.001	100_10_10_10_linear_1.0_1000_0.001.tsv	Support Vector Machines	1	Class	0.8111111111111111
100	10	10	10	linear	1.0	1000	0.001	100_10_10_10_linear_1.0_1000_0.001.tsv	Support Vector Machines	2	Batch	0.8384615384615384
100	10	10	10	linear	1.0	1000	0.001	100_10_10_10_linear_1.0_1000_0.001.tsv	Support Vector Machines	2	Class	0.8444444444444444
100	10	10	10	linear	1.0	1000	0.001	100_10_10_10_linear_1.0_1000_0.001.tsv	k-nearest Neighbors	1	Batch	0.7894230769230769
100	10	10	10	linear	1.0	1000	0.001	100_10_10_10_linear_1.0_1000_0.001.tsv	k-nearest Neighbors	1	Class	0.6805555555555556
100	10	10	10	linear	1.0	1000	0.001	100_10_10_10_linear_1.0_1000_0.001.tsv	k-nearest Neighbors	2	Batch	0.7509615384615385
100	10	10	10	linear	1.0	1000	0.001	100_10_10_10_linear_1.0_1000_0.001.tsv	k-nearest Neighbors	2	Class	0.6763888888888889
100	10	10	10	linear	2.0	10000	0.0001	100_10_10_10_linear_2.0_10000_0.0001.tsv	Random Forests	1	Class	0.41388888888888886
100	10	10	10	linear	2.0	10000	0.0001	100_10_10_10_linear_2.0_10000_0.0001.tsv	Random Forests	2	Batch	0.9980769230769231
100	10	10	10	linear	2.0	10000	0.0001	100_10_10_10_linear_2.0_10000_0.0001.tsv	Random Forests	2	Class	0.6055555555555556
100	10	10	10	linear	2.0	10000	0.0001	100_10_10_10_linear_2.0_10000_0.0001.tsv	Support Vector Machines	1	Batch	0.8307692307692307
100	10	10	10	linear	2.0	10000	0.0001	100_10_10_10_linear_2.0_10000_0.0001.tsv	Support Vector Machines	1	Class	0.45277777777777783
100	10	10	10	linear	2.0	10000	0.0001	100_10_10_10_linear_2.0_10000_0.0001.tsv	Support Vector Machines	2	Batch	0.9961538461538462
100	10	10	10	linear	2.0	10000	0.0001	100_10_10_10_linear_2.0_10000_0.0001.tsv	Support Vector Machines	2	Class	0.4305555555555556
100	10	10	10	linear	2.0	10000	0.0001	100_10_10_10_linear_2.0_10000_0.0001.tsv	k-nearest Neighbors	1	Batch	0.7317307692307692
100	10	10	10	linear	2.0	10000	0.0001	100_10_10_10_linear_2.0_10000_0.0001.tsv	k-nearest Neighbors	1	Class	0.4138888888888889
100	10	10	10	linear	2.0	10000	0.0001	100_10_10_10_linear_2.0_10000_0.0001.tsv	k-nearest Neighbors	2	Batch	0.9615384615384616
100	10	10	10	linear	2.0	10000	0.0001	100_10_10_10_linear_2.0_10000_0.0001.tsv	k-nearest Neighbors	2	Class	0.4138888888888889
100	10	10	10	linear	2.0	10000	0.001	100_10_10_10_linear_2.0_10000_0.001.tsv	Random Forests	1	Class	0.5472222222222223
100	10	10	10	linear	2.0	10000	0.001	100_10_10_10_linear_2.0_10000_0.001.tsv	Random Forests	2	Batch	1.0
100	10	10	10	linear	2.0	10000	0.001	100_10_10_10_linear_2.0_10000_0.001.tsv	Random Forests	2	Class	0.4388888888888889
100	10	10	10	linear	2.0	10000	0.001	100_10_10_10_linear_2.0_10000_0.001.tsv	Support Vector Machines	1	Batch	0.8115384615384615
100	10	10	10	linear	2.0	10000	0.001	100_10_10_10_linear_2.0_10000_0.001.tsv	Support Vector Machines	1	Class	0.6555555555555556
100	10	10	10	linear	2.0	10000	0.001	100_10_10_10_linear_2.0_10000_0.001.tsv	Support Vector Machines	2	Batch	0.9961538461538462
100	10	10	10	linear	2.0	10000	0.001	100_10_10_10_linear_2.0_10000_0.001.tsv	Support Vector Machines	2	Class	0.65
100	10	10	10	linear	2.0	10000	0.001	100_10_10_10_linear_2.0_10000_0.001.tsv	k-nearest Neighbors	1	Batch	0.7346153846153847
100	10	10	10	linear	2.0	10000	0.001	100_10_10_10_linear_2.0_10000_0.001.tsv	k-nearest Neighbors	1	Class	0.5083333333333334
100	10	10	10	linear	2.0	10000	0.001	100_10_10_10_linear_2.0_10000_0.001.tsv	k-nearest Neighbors	2	Batch	0.9884615384615385
100	10	10	10	linear	2.0	10000	0.001	100_10_10_10_linear_2.0_10000_0.001.tsv	k-nearest Neighbors	2	Class	0.41944444444444445
100	10	10	10	linear	2.0	1000	0.0001	100_10_10_10_linear_2.0_1000_0.0001.tsv	Random Forests	1	Class	0.7222222222222222
100	10	10	10	linear	2.0	1000	0.0001	100_10_10_10_linear_2.0_1000_0.0001.tsv	Random Forests	2	Batch	0.9375
100	10	10	10	linear	2.0	1000	0.0001	100_10_10_10_linear_2.0_1000_0.0001.tsv	Random Forests	2	Class	0.6930555555555555
100	10	10	10	linear	2.0	1000	0.0001	100_10_10_10_linear_2.0_1000_0.0001.tsv	Support Vector Machines	1	Batch	0.7942307692307693
100	10	10	10	linear	2.0	1000	0.0001	100_10_10_10_linear_2.0_1000_0.0001.tsv	Support Vector Machines	1	Class	0.7555555555555555
100	10	10	10	linear	2.0	1000	0.0001	100_10_10_10_linear_2.0_1000_0.0001.tsv	Support Vector Machines	2	Batch	0.926923076923077
100	10	10	10	linear	2.0	1000	0.0001	100_10_10_10_linear_2.0_1000_0.0001.tsv	Support Vector Machines	2	Class	0.6472222222222223
100	10	10	10	linear	2.0	1000	0.0001	100_10_10_10_linear_2.0_1000_0.0001.tsv	k-nearest Neighbors	1	Batch	0.7663461538461538
100	10	10	10	linear	2.0	1000	0.0001	100_10_10_10_linear_2.0_1000_0.0001.tsv	k-nearest Neighbors	1	Class	0.6416666666666667
100	10	10	10	linear	2.0	1000	0.0001	100_10_10_10_linear_2.0_1000_0.0001.tsv	k-nearest Neighbors	2	Batch	0.8807692307692307
100	10	10	10	linear	2.0	1000	0.0001	100_10_10_10_linear_2.0_1000_0.0001.tsv	k-nearest Neighbors	2	Class	0.5513888888888889
100	10	10	10	linear	2.0	1000	0.001	100_10_10_10_linear_2.0_1000_0.001.tsv	Random Forests	1	Class	0.7333333333333334
100	10	10	10	linear	2.0	1000	0.001	100_10_10_10_linear_2.0_1000_0.001.tsv	Random Forests	2	Batch	0.8605769230769231
100	10	10	10	linear	2.0	1000	0.001	100_10_10_10_linear_2.0_1000_0.001.tsv	Random Forests	2	Class	0.7402777777777778
100	10	10	10	linear	2.0	1000	0.001	100_10_10_10_linear_2.0_1000_0.001.tsv	Support Vector Machines	1	Batch	0.7865384615384615
100	10	10	10	linear	2.0	1000	0.001	100_10_10_10_linear_2.0_1000_0.001.tsv	Support Vector Machines	1	Class	0.7666666666666667
100	10	10	10	linear	2.0	1000	0.001	100_10_10_10_linear_2.0_1000_0.001.tsv	Support Vector Machines	2	Batch	0.8653846153846154
100	10	10	10	linear	2.0	1000	0.001	100_10_10_10_linear_2.0_1000_0.001.tsv	Support Vector Machines	2	Class	0.7416666666666667
100	10	10	10	linear	2.0	1000	0.001	100_10_10_10_linear_2.0_1000_0.001.tsv	k-nearest Neighbors	1	Batch	0.748076923076923
100	10	10	10	linear	2.0	1000	0.001	100_10_10_10_linear_2.0_1000_0.001.tsv	k-nearest Neighbors	1	Class	0.6902777777777778
100	10	10	10	linear	2.0	1000	0.001	100_10_10_10_linear_2.0_1000_0.001.tsv	k-nearest Neighbors	2	Batch	0.7913461538461538
100	10	10	10	linear	2.0	1000	0.001	100_10_10_10_linear_2.0_1000_0.001.tsv	k-nearest Neighbors	2	Class	0.6652777777777777
100	10	10	10	sigmoid	1.0	10000	0.0001	100_10_10_10_sigmoid_1.0_10000_0.0001.tsv	Random Forests	1	Class	0.49722222222222223
100	10	10	10	sigmoid	1.0	10000	0.0001	100_10_10_10_sigmoid_1.0_10000_0.0001.tsv	Random Forests	2	Batch	0.8048076923076923
100	10	10	10	sigmoid	1.0	10000	0.0001	100_10_10_10_sigmoid_1.0_10000_0.0001.tsv	Random Forests	2	Class	0.7180555555555556
100	10	10	10	sigmoid	1.0	10000	0.0001	100_10_10_10_sigmoid_1.0_10000_0.0001.tsv	Support Vector Machines	1	Batch	0.7538461538461538
100	10	10	10	sigmoid	1.0	10000	0.0001	100_10_10_10_sigmoid_1.0_10000_0.0001.tsv	Support Vector Machines	1	Class	0.47500000000000003
100	10	10	10	sigmoid	1.0	10000	0.0001	100_10_10_10_sigmoid_1.0_10000_0.0001.tsv	Support Vector Machines	2	Batch	0.775
100	10	10	10	sigmoid	1.0	10000	0.0001	100_10_10_10_sigmoid_1.0_10000_0.0001.tsv	Support Vector Machines	2	Class	0.4777777777777778
100	10	10	10	sigmoid	1.0	10000	0.0001	100_10_10_10_sigmoid_1.0_10000_0.0001.tsv	k-nearest Neighbors	1	Batch	0.6740384615384616
100	10	10	10	sigmoid	1.0	10000	0.0001	100_10_10_10_sigmoid_1.0_10000_0.0001.tsv	k-nearest Neighbors	1	Class	0.6361111111111112
100	10	10	10	sigmoid	1.0	10000	0.0001	100_10_10_10_sigmoid_1.0_10000_0.0001.tsv	k-nearest Neighbors	2	Batch	0.7548076923076923
100	10	10	10	sigmoid	1.0	10000	0.0001	100_10_10_10_sigmoid_1.0_10000_0.0001.tsv	k-nearest Neighbors	2	Class	0.6027777777777777
100	10	10	10	sigmoid	1.0	10000	0.001	100_10_10_10_sigmoid_1.0_10000_0.001.tsv	Random Forests	1	Class	0.6041666666666666
100	10	10	10	sigmoid	1.0	10000	0.001	100_10_10_10_sigmoid_1.0_10000_0.001.tsv	Random Forests	2	Batch	0.7326923076923076
100	10	10	10	sigmoid	1.0	10000	0.001	100_10_10_10_sigmoid_1.0_10000_0.001.tsv	Random Forests	2	Class	0.6194444444444445
100	10	10	10	sigmoid	1.0	10000	0.001	100_10_10_10_sigmoid_1.0_10000_0.001.tsv	Support Vector Machines	1	Batch	0.7576923076923077
100	10	10	10	sigmoid	1.0	10000	0.001	100_10_10_10_sigmoid_1.0_10000_0.001.tsv	Support Vector Machines	1	Class	0.6833333333333333
100	10	10	10	sigmoid	1.0	10000	0.001	100_10_10_10_sigmoid_1.0_10000_0.001.tsv	Support Vector Machines	2	Batch	0.8019230769230768
100	10	10	10	sigmoid	1.0	10000	0.001	100_10_10_10_sigmoid_1.0_10000_0.001.tsv	Support Vector Machines	2	Class	0.5472222222222223
100	10	10	10	sigmoid	1.0	10000	0.001	100_10_10_10_sigmoid_1.0_10000_0.001.tsv	k-nearest Neighbors	1	Batch	0.7451923076923077
100	10	10	10	sigmoid	1.0	10000	0.001	100_10_10_10_sigmoid_1.0_10000_0.001.tsv	k-nearest Neighbors	1	Class	0.6472222222222223
100	10	10	10	sigmoid	1.0	10000	0.001	100_10_10_10_sigmoid_1.0_10000_0.001.tsv	k-nearest Neighbors	2	Batch	0.7615384615384615
100	10	10	10	sigmoid	1.0	10000	0.001	100_10_10_10_sigmoid_1.0_10000_0.001.tsv	k-nearest Neighbors	2	Class	0.611111111111111
100	10	10	10	sigmoid	1.0	1000	0.0001	100_10_10_10_sigmoid_1.0_1000_0.0001.tsv	Random Forests	1	Class	0.49444444444444446
100	10	10	10	sigmoid	1.0	1000	0.0001	100_10_10_10_sigmoid_1.0_1000_0.0001.tsv	Random Forests	2	Batch	0.6451923076923077
100	10	10	10	sigmoid	1.0	1000	0.0001	100_10_10_10_sigmoid_1.0_1000_0.0001.tsv	Random Forests	2	Class	0.5375000000000001
100	10	10	10	sigmoid	1.0	1000	0.0001	100_10_10_10_sigmoid_1.0_1000_0.0001.tsv	Support Vector Machines	1	Batch	0.6634615384615384
100	10	10	10	sigmoid	1.0	1000	0.0001	100_10_10_10_sigmoid_1.0_1000_0.0001.tsv	Support Vector Machines	1	Class	0.4888888888888889
100	10	10	10	sigmoid	1.0	1000	0.0001	100_10_10_10_sigmoid_1.0_1000_0.0001.tsv	Support Vector Machines	2	Batch	0.5615384615384615
100	10	10	10	sigmoid	1.0	1000	0.0001	100_10_10_10_sigmoid_1.0_1000_0.0001.tsv	Support Vector Machines	2	Class	0.48333333333333334
100	10	10	10	sigmoid	1.0	1000	0.0001	100_10_10_10_sigmoid_1.0_1000_0.0001.tsv	k-nearest Neighbors	1	Batch	0.6913461538461538
100	10	10	10	sigmoid	1.0	1000	0.0001	100_10_10_10_sigmoid_1.0_1000_0.0001.tsv	k-nearest Neighbors	1	Class	0.611111111111111
100	10	10	10	sigmoid	1.0	1000	0.0001	100_10_10_10_sigmoid_1.0_1000_0.0001.tsv	k-nearest Neighbors	2	Batch	0.6663461538461538
100	10	10	10	sigmoid	1.0	1000	0.0001	100_10_10_10_sigmoid_1.0_1000_0.0001.tsv	k-nearest Neighbors	2	Class	0.5402777777777779
100	10	10	10	sigmoid	1.0	1000	0.001	100_10_10_10_sigmoid_1.0_1000_0.001.tsv	Random Forests	1	Class	0.4083333333333333
100	10	10	10	sigmoid	1.0	1000	0.001	100_10_10_10_sigmoid_1.0_1000_0.001.tsv	Random Forests	2	Batch	0.6875
100	10	10	10	sigmoid	1.0	1000	0.001	100_10_10_10_sigmoid_1.0_1000_0.001.tsv	Random Forests	2	Class	0.5305555555555556
100	10	10	10	sigmoid	1.0	1000	0.001	100_10_10_10_sigmoid_1.0_1000_0.001.tsv	Support Vector Machines	1	Batch	0.7096153846153846
100	10	10	10	sigmoid	1.0	1000	0.001	100_10_10_10_sigmoid_1.0_1000_0.001.tsv	Support Vector Machines	1	Class	0.6055555555555555
100	10	10	10	sigmoid	1.0	1000	0.001	100_10_10_10_sigmoid_1.0_1000_0.001.tsv	Support Vector Machines	2	Batch	0.6846153846153846
100	10	10	10	sigmoid	1.0	1000	0.001	100_10_10_10_sigmoid_1.0_1000_0.001.tsv	Support Vector Machines	2	Class	0.45833333333333337
100	10	10	10	sigmoid	1.0	1000	0.001	100_10_10_10_sigmoid_1.0_1000_0.001.tsv	k-nearest Neighbors	1	Batch	0.6480769230769231
100	10	10	10	sigmoid	1.0	1000	0.001	100_10_10_10_sigmoid_1.0_1000_0.001.tsv	k-nearest Neighbors	1	Class	0.4625
100	10	10	10	sigmoid	1.0	1000	0.001	100_10_10_10_sigmoid_1.0_1000_0.001.tsv	k-nearest Neighbors	2	Batch	0.6259615384615385
100	10	10	10	sigmoid	1.0	1000	0.001	100_10_10_10_sigmoid_1.0_1000_0.001.tsv	k-nearest Neighbors	2	Class	0.513888888888889
100	10	10	10	sigmoid	2.0	10000	0.0001	100_10_10_10_sigmoid_2.0_10000_0.0001.tsv	Random Forests	1	Class	0.5888888888888889
100	10	10	10	sigmoid	2.0	10000	0.0001	100_10_10_10_sigmoid_2.0_10000_0.0001.tsv	Random Forests	2	Batch	0.6990384615384616
100	10	10	10	sigmoid	2.0	10000	0.0001	100_10_10_10_sigmoid_2.0_10000_0.0001.tsv	Random Forests	2	Class	0.5888888888888889
100	10	10	10	sigmoid	2.0	10000	0.0001	100_10_10_10_sigmoid_2.0_10000_0.0001.tsv	Support Vector Machines	1	Batch	0.7134615384615384
100	10	10	10	sigmoid	2.0	10000	0.0001	100_10_10_10_sigmoid_2.0_10000_0.0001.tsv	Support Vector Machines	1	Class	0.6472222222222221
100	10	10	10	sigmoid	2.0	10000	0.0001	100_10_10_10_sigmoid_2.0_10000_0.0001.tsv	Support Vector Machines	2	Batch	0.8346153846153846
100	10	10	10	sigmoid	2.0	10000	0.0001	100_10_10_10_sigmoid_2.0_10000_0.0001.tsv	Support Vector Machines	2	Class	0.5972222222222222
100	10	10	10	sigmoid	2.0	10000	0.0001	100_10_10_10_sigmoid_2.0_10000_0.0001.tsv	k-nearest Neighbors	1	Batch	0.6211538461538462
100	10	10	10	sigmoid	2.0	10000	0.0001	100_10_10_10_sigmoid_2.0_10000_0.0001.tsv	k-nearest Neighbors	1	Class	0.7458333333333333
100	10	10	10	sigmoid	2.0	10000	0.0001	100_10_10_10_sigmoid_2.0_10000_0.0001.tsv	k-nearest Neighbors	2	Batch	0.7413461538461539
100	10	10	10	sigmoid	2.0	10000	0.0001	100_10_10_10_sigmoid_2.0_10000_0.0001.tsv	k-nearest Neighbors	2	Class	0.5583333333333333
100	10	10	10	sigmoid	2.0	10000	0.001	100_10_10_10_sigmoid_2.0_10000_0.001.tsv	Random Forests	1	Class	0.5777777777777777
100	10	10	10	sigmoid	2.0	10000	0.001	100_10_10_10_sigmoid_2.0_10000_0.001.tsv	Random Forests	2	Batch	0.8096153846153846
100	10	10	10	sigmoid	2.0	10000	0.001	100_10_10_10_sigmoid_2.0_10000_0.001.tsv	Random Forests	2	Class	0.6041666666666667
100	10	10	10	sigmoid	2.0	10000	0.001	100_10_10_10_sigmoid_2.0_10000_0.001.tsv	Support Vector Machines	1	Batch	0.7576923076923077
100	10	10	10	sigmoid	2.0	10000	0.001	100_10_10_10_sigmoid_2.0_10000_0.001.tsv	Support Vector Machines	1	Class	0.5888888888888889
100	10	10	10	sigmoid	2.0	10000	0.001	100_10_10_10_sigmoid_2.0_10000_0.001.tsv	Support Vector Machines	2	Batch	0.8038461538461539
100	10	10	10	sigmoid	2.0	10000	0.001	100_10_10_10_sigmoid_2.0_10000_0.001.tsv	Support Vector Machines	2	Class	0.6444444444444444
100	10	10	10	sigmoid	2.0	10000	0.001	100_10_10_10_sigmoid_2.0_10000_0.001.tsv	k-nearest Neighbors	1	Batch	0.8086538461538462
100	10	10	10	sigmoid	2.0	10000	0.001	100_10_10_10_sigmoid_2.0_10000_0.001.tsv	k-nearest Neighbors	1	Class	0.6402777777777777
100	10	10	10	sigmoid	2.0	10000	0.001	100_10_10_10_sigmoid_2.0_10000_0.001.tsv	k-nearest Neighbors	2	Batch	0.7701923076923077
100	10	10	10	sigmoid	2.0	10000	0.001	100_10_10_10_sigmoid_2.0_10000_0.001.tsv	k-nearest Neighbors	2	Class	0.6291666666666668
100	10	10	10	sigmoid	2.0	1000	0.0001	100_10_10_10_sigmoid_2.0_1000_0.0001.tsv	Random Forests	1	Class	0.5305555555555556
100	10	10	10	sigmoid	2.0	1000	0.0001	100_10_10_10_sigmoid_2.0_1000_0.0001.tsv	Random Forests	2	Batch	0.7451923076923077
100	10	10	10	sigmoid	2.0	1000	0.0001	100_10_10_10_sigmoid_2.0_1000_0.0001.tsv	Random Forests	2	Class	0.3486111111111111
100	10	10	10	sigmoid	2.0	1000	0.0001	100_10_10_10_sigmoid_2.0_1000_0.0001.tsv	Support Vector Machines	1	Batch	0.7692307692307693
100	10	10	10	sigmoid	2.0	1000	0.0001	100_10_10_10_sigmoid_2.0_1000_0.0001.tsv	Support Vector Machines	1	Class	0.25277777777777777
100	10	10	10	sigmoid	2.0	1000	0.0001	100_10_10_10_sigmoid_2.0_1000_0.0001.tsv	Support Vector Machines	2	Batch	0.748076923076923
100	10	10	10	sigmoid	2.0	1000	0.0001	100_10_10_10_sigmoid_2.0_1000_0.0001.tsv	Support Vector Machines	2	Class	0.24722222222222223
100	10	10	10	sigmoid	2.0	1000	0.0001	100_10_10_10_sigmoid_2.0_1000_0.0001.tsv	k-nearest Neighbors	1	Batch	0.7625
100	10	10	10	sigmoid	2.0	1000	0.0001	100_10_10_10_sigmoid_2.0_1000_0.0001.tsv	k-nearest Neighbors	1	Class	0.4305555555555556
100	10	10	10	sigmoid	2.0	1000	0.0001	100_10_10_10_sigmoid_2.0_1000_0.0001.tsv	k-nearest Neighbors	2	Batch	0.7173076923076923
100	10	10	10	sigmoid	2.0	1000	0.0001	100_10_10_10_sigmoid_2.0_1000_0.0001.tsv	k-nearest Neighbors	2	Class	0.3541666666666667
100	10	10	10	sigmoid	2.0	1000	0.001	100_10_10_10_sigmoid_2.0_1000_0.001.tsv	Random Forests	1	Class	0.7125
100	10	10	10	sigmoid	2.0	1000	0.001	100_10_10_10_sigmoid_2.0_1000_0.001.tsv	Random Forests	2	Batch	0.6903846153846154
100	10	10	10	sigmoid	2.0	1000	0.001	100_10_10_10_sigmoid_2.0_1000_0.001.tsv	Random Forests	2	Class	0.5694444444444444
100	10	10	10	sigmoid	2.0	1000	0.001	100_10_10_10_sigmoid_2.0_1000_0.001.tsv	Support Vector Machines	1	Batch	0.6538461538461539
100	10	10	10	sigmoid	2.0	1000	0.001	100_10_10_10_sigmoid_2.0_1000_0.001.tsv	Support Vector Machines	1	Class	0.5444444444444445
100	10	10	10	sigmoid	2.0	1000	0.001	100_10_10_10_sigmoid_2.0_1000_0.001.tsv	Support Vector Machines	2	Batch	0.7384615384615384
100	10	10	10	sigmoid	2.0	1000	0.001	100_10_10_10_sigmoid_2.0_1000_0.001.tsv	Support Vector Machines	2	Class	0.5361111111111111
100	10	10	10	sigmoid	2.0	1000	0.001	100_10_10_10_sigmoid_2.0_1000_0.001.tsv	k-nearest Neighbors	1	Batch	0.660576923076923
100	10	10	10	sigmoid	2.0	1000	0.001	100_10_10_10_sigmoid_2.0_1000_0.001.tsv	k-nearest Neighbors	1	Class	0.5527777777777777
100	10	10	10	sigmoid	2.0	1000	0.001	100_10_10_10_sigmoid_2.0_1000_0.001.tsv	k-nearest Neighbors	2	Batch	0.7884615384615385
100	10	10	10	sigmoid	2.0	1000	0.001	100_10_10_10_sigmoid_2.0_1000_0.001.tsv	k-nearest Neighbors	2	Class	0.6291666666666668
