"variable","value","L1","iteration"
"ComBat",0.973639455782313,"rf",14
"Avg",0.969387755102041,"rf",14
"n_Avg",0.973639455782313,"rf",14
"CS_Avg",0.974489795918367,"rf",14
"Reg_a",0.973639455782313,"rf",14
"Reg_s",0.974489795918367,"rf",14
"Batch",0.763605442176871,"svm",14
"ComBat",0.99234693877551,"svm",14
"Avg",0.977891156462585,"svm",14
"n_Avg",0.980442176870748,"svm",14
"CS_Avg",0.987244897959184,"svm",14
"Reg_a",0.980442176870748,"svm",14
"Reg_s",0.98469387755102,"svm",14
"Batch",0.974489795918367,"crossmod",14
"ComBat",0.973639455782313,"crossmod",14
"Avg",0.972789115646259,"crossmod",14
"n_Avg",0.972789115646258,"crossmod",14
"CS_Avg",0.980442176870748,"crossmod",14
"Reg_a",0.980442176870748,"crossmod",14
"Reg_s",0.982142857142857,"crossmod",14
"Batch",0.958333333333333,"lasso",15
"ComBat",0.95343137254902,"lasso",15
"Avg",0.91421568627451,"lasso",15
"n_Avg",0.918300653594771,"lasso",15
"CS_Avg",0.967320261437909,"lasso",15
"Reg_a",0.92156862745098,"lasso",15
"Reg_s",0.924019607843137,"lasso",15
"Batch",0.955882352941176,"rf",15
"ComBat",0.957516339869281,"rf",15
"Avg",0.941993464052288,"rf",15
"n_Avg",0.941993464052288,"rf",15
"CS_Avg",0.947712418300654,"rf",15
"Reg_a",0.941993464052288,"rf",15
"Reg_s",0.945261437908497,"rf",15
"Batch",0.880718954248366,"svm",15
"ComBat",0.984477124183006,"svm",15
"Avg",0.96078431372549,"svm",15
"n_Avg",0.966503267973856,"svm",15
"CS_Avg",0.975490196078431,"svm",15
"Reg_a",0.966503267973856,"svm",15
"Reg_s",0.983660130718954,"svm",15
"Batch",0.955882352941176,"crossmod",15
"ComBat",0.957516339869281,"crossmod",15
"Avg",0.950980392156863,"crossmod",15
"n_Avg",0.952614379084967,"crossmod",15
"CS_Avg",0.96078431372549,"crossmod",15
"Reg_a",0.968137254901961,"crossmod",15
"Reg_s",0.985294117647059,"crossmod",15
"Batch",0.99017199017199,"lasso",16
"ComBat",1,"lasso",16
"Avg",0.960687960687961,"lasso",16
"n_Avg",0.967239967239967,"lasso",16
"CS_Avg",0.99017199017199,"lasso",16
"Reg_a",0.967239967239967,"lasso",16
"Reg_s",0.95986895986896,"lasso",16
"Batch",0.99017199017199,"rf",16
"ComBat",0.983619983619984,"rf",16
"Avg",0.982800982800983,"rf",16
"n_Avg",0.982800982800983,"rf",16
"CS_Avg",0.982800982800983,"rf",16
"Reg_a",0.982800982800983,"rf",16
"Reg_s",0.98034398034398,"rf",16
"Batch",0.87960687960688,"svm",16
"ComBat",1,"svm",16
"Avg",0.987714987714988,"svm",16
"n_Avg",0.987714987714988,"svm",16
"CS_Avg",0.98034398034398,"svm",16
"Reg_a",0.987714987714988,"svm",16
"Reg_s",0.993447993447993,"svm",16
"Batch",0.99017199017199,"crossmod",16
"ComBat",0.983619983619984,"crossmod",16
"Avg",0.982800982800983,"crossmod",16
"n_Avg",0.985257985257985,"crossmod",16
"CS_Avg",0.99017199017199,"crossmod",16
"Reg_a",0.995085995085995,"crossmod",16
"Reg_s",0.993447993447993,"crossmod",16
"Batch",0.985544217687075,"lasso",17
"ComBat",0.966836734693878,"lasso",17
"Avg",0.939625850340136,"lasso",17
"n_Avg",0.944727891156462,"lasso",17
"CS_Avg",0.980442176870748,"lasso",17
"Reg_a",0.944727891156462,"lasso",17
"Reg_s",0.954081632653061,"lasso",17
"Batch",0.976190476190476,"rf",17
"ComBat",0.971938775510204,"rf",17
"Avg",0.970238095238095,"rf",17
"n_Avg",0.970238095238095,"rf",17
"CS_Avg",0.973639455782313,"rf",17
"Reg_a",0.970238095238095,"rf",17
"Reg_s",0.974489795918367,"rf",17
"Batch",0.901360544217687,"svm",17
"ComBat",0.989795918367347,"svm",17
"Avg",0.979591836734694,"svm",17
"n_Avg",0.982142857142857,"svm",17
"CS_Avg",0.983843537414966,"svm",17
"Reg_a",0.982142857142857,"svm",17
"Reg_s",0.98469387755102,"svm",17
"Batch",0.976190476190476,"crossmod",17
"ComBat",0.971938775510204,"crossmod",17
"Avg",0.971938775510204,"crossmod",17
"n_Avg",0.976190476190476,"crossmod",17
"CS_Avg",0.977040816326531,"crossmod",17
"Reg_a",0.982993197278912,"crossmod",17
"Reg_s",0.98469387755102,"crossmod",17
"Batch",0.980263157894737,"lasso",18
"ComBat",0.972861842105263,"lasso",18
"Avg",0.909539473684211,"lasso",18
"n_Avg",0.913651315789474,"lasso",18
"CS_Avg",0.953125,"lasso",18
"Reg_a",0.913651315789474,"lasso",18
"Reg_s",0.921875,"lasso",18
"Batch",0.966282894736842,"rf",18
"ComBat",0.952302631578947,"rf",18
"Avg",0.957236842105263,"rf",18
"n_Avg",0.958881578947368,"rf",18
"CS_Avg",0.960526315789474,"rf",18
"Reg_a",0.958881578947368,"rf",18
"Reg_s",0.962171052631579,"rf",18
"Batch",0.848684210526316,"svm",18
"ComBat",0.992598684210526,"svm",18
"Avg",0.963815789473684,"svm",18
"n_Avg",0.970394736842105,"svm",18
"CS_Avg",0.984375,"svm",18
"Reg_a",0.970394736842105,"svm",18
"Reg_s",0.970394736842105,"svm",18
"Batch",0.966282894736842,"crossmod",18
"ComBat",0.952302631578947,"crossmod",18
"Avg",0.958881578947368,"crossmod",18
"n_Avg",0.959703947368421,"crossmod",18
"CS_Avg",0.962993421052632,"crossmod",18
"Reg_a",0.970394736842105,"crossmod",18
"Reg_s",0.972039473684211,"crossmod",18
"Batch",0.993464052287582,"lasso",19
"ComBat",0.959967320261438,"lasso",19
"Avg",0.930555555555556,"lasso",19
"n_Avg",0.941993464052288,"lasso",19
"CS_Avg",0.980392156862745,"lasso",19
"Reg_a",0.941993464052288,"lasso",19
"Reg_s",0.957516339869281,"lasso",19
"Batch",0.972222222222222,"rf",19
"ComBat",0.975490196078431,"rf",19
"Avg",0.977941176470588,"rf",19
"n_Avg",0.977941176470588,"rf",19
"CS_Avg",0.978758169934641,"rf",19
"Reg_a",0.977941176470588,"rf",19
"Reg_s",0.980392156862745,"rf",19
"Batch",0.83578431372549,"svm",19
"ComBat",0.995098039215686,"svm",19
"Avg",0.986111111111111,"svm",19
"n_Avg",0.988562091503268,"svm",19
"CS_Avg",0.986928104575163,"svm",19
"Reg_a",0.988562091503268,"svm",19
"Reg_s",0.988562091503268,"svm",19
"Batch",0.972222222222222,"crossmod",19
"ComBat",0.975490196078431,"crossmod",19
"Avg",0.97875816993464,"crossmod",19
"n_Avg",0.985294117647059,"crossmod",19
"CS_Avg",0.986111111111111,"crossmod",19
"Reg_a",0.988562091503268,"crossmod",19
"Reg_s",0.988562091503268,"crossmod",19
"Batch",0.988533988533989,"lasso",20
"ComBat",0.985257985257985,"lasso",20
"Avg",0.951678951678952,"lasso",20
"n_Avg",0.948402948402948,"lasso",20
"CS_Avg",0.977886977886978,"lasso",20
"Reg_a",0.951678951678952,"lasso",20
"Reg_s",0.946764946764947,"lasso",20
"Batch",0.985257985257985,"rf",20
"ComBat",0.974610974610975,"rf",20
"Avg",0.971334971334971,"rf",20
"n_Avg",0.971334971334971,"rf",20
"CS_Avg",0.972153972153972,"rf",20
"Reg_a",0.971334971334971,"rf",20
"Reg_s",0.971334971334971,"rf",20
"Batch",0.91973791973792,"svm",20
"ComBat",0.993447993447993,"svm",20
"Avg",0.983619983619984,"svm",20
"n_Avg",0.985257985257985,"svm",20
"CS_Avg",0.987714987714988,"svm",20
"Reg_a",0.985257985257985,"svm",20
"Reg_s",0.984438984438984,"svm",20
"Batch",0.985257985257985,"crossmod",20
"ComBat",0.974610974610975,"crossmod",20
"Avg",0.977886977886978,"crossmod",20
"n_Avg",0.977067977067977,"crossmod",20
"CS_Avg",0.982800982800983,"crossmod",20
"Reg_a",0.986076986076986,"crossmod",20
"Reg_s",0.985257985257985,"crossmod",20
"Batch",0.972039473684211,"lasso",21
"ComBat",0.952302631578947,"lasso",21
"Avg",0.94078947368421,"lasso",21
"n_Avg",0.942434210526316,"lasso",21
"CS_Avg",0.981907894736842,"lasso",21
"Reg_a",0.944901315789474,"lasso",21
"Reg_s",0.950657894736842,"lasso",21
"Batch",0.966282894736842,"rf",21
"ComBat",0.969572368421053,"rf",21
"Avg",0.960526315789474,"rf",21
"n_Avg",0.962993421052632,"rf",21
"CS_Avg",0.966282894736842,"rf",21
"Reg_a",0.962993421052632,"rf",21
"Reg_s",0.967927631578947,"rf",21
"Batch",0.828947368421053,"svm",21
"ComBat",0.986019736842105,"svm",21
"Avg",0.971217105263158,"svm",21
"n_Avg",0.981907894736842,"svm",21
"CS_Avg",0.969572368421053,"svm",21
"Reg_a",0.981907894736842,"svm",21
"Reg_s",0.985197368421053,"svm",21
"Batch",0.966282894736842,"crossmod",21
"ComBat",0.969572368421053,"crossmod",21
"Avg",0.973684210526316,"crossmod",21
"n_Avg",0.976151315789474,"crossmod",21
"CS_Avg",0.969572368421053,"crossmod",21
"Reg_a",0.975328947368421,"crossmod",21
"Reg_s",0.981907894736842,"crossmod",21
"Batch",0.978618421052632,"lasso",22
"ComBat",0.951480263157895,"lasso",22
"Avg",0.930921052631579,"lasso",22
"n_Avg",0.926809210526316,"lasso",22
"CS_Avg",0.966282894736842,"lasso",22
"Reg_a",0.935855263157895,"lasso",22
"Reg_s",0.934210526315789,"lasso",22
"Batch",0.967105263157895,"rf",22
"ComBat",0.958059210526316,"rf",22
"Avg",0.962993421052632,"rf",22
"n_Avg",0.964638157894737,"rf",22
"CS_Avg",0.964638157894737,"rf",22
"Reg_a",0.964638157894737,"rf",22
"Reg_s",0.964638157894737,"rf",22
"Batch",0.890625,"svm",22
"ComBat",0.982730263157895,"svm",22
"Avg",0.970394736842105,"svm",22
"n_Avg",0.976973684210526,"svm",22
"CS_Avg",0.983552631578947,"svm",22
"Reg_a",0.977796052631579,"svm",22
"Reg_s",0.978618421052632,"svm",22
"Batch",0.967105263157895,"crossmod",22
"ComBat",0.958059210526316,"crossmod",22
"Avg",0.967105263157895,"crossmod",22
"n_Avg",0.965460526315789,"crossmod",22
"CS_Avg",0.96875,"crossmod",22
"Reg_a",0.976973684210526,"crossmod",22
"Reg_s",0.979440789473684,"crossmod",22
"Batch",0.964638157894737,"lasso",23
"ComBat",0.959703947368421,"lasso",23
"Avg",0.884868421052632,"lasso",23
"n_Avg",0.896381578947368,"lasso",23
"CS_Avg",0.931743421052632,"lasso",23
"Reg_a",0.896381578947368,"lasso",23
"Reg_s",0.902960526315789,"lasso",23
"Batch",0.935855263157895,"rf",23
"ComBat",0.935032894736842,"rf",23
"Avg",0.946546052631579,"rf",23
"n_Avg",0.935855263157895,"rf",23
"CS_Avg",0.94078947368421,"rf",23
"Reg_a",0.935855263157895,"rf",23
"Reg_s",0.9375,"rf",23
"Batch",0.891447368421053,"svm",23
"ComBat",0.987664473684211,"svm",23
"Avg",0.939967105263158,"svm",23
"n_Avg",0.945723684210526,"svm",23
"CS_Avg",0.962993421052632,"svm",23
"Reg_a",0.945723684210526,"svm",23
"Reg_s",0.95641447368421,"svm",23
"Batch",0.935855263157895,"crossmod",23
"ComBat",0.935032894736842,"crossmod",23
"Avg",0.926809210526316,"crossmod",23
"n_Avg",0.930921052631579,"crossmod",23
"CS_Avg",0.938322368421053,"crossmod",23
"Reg_a",0.944078947368421,"crossmod",23
"Reg_s",0.954769736842105,"crossmod",23
"Batch",0.991496598639456,"lasso",24
"ComBat",0.958333333333333,"lasso",24
"Avg",0.957482993197279,"lasso",24
"n_Avg",0.969387755102041,"lasso",24
"CS_Avg",0.994897959183674,"lasso",24
"Reg_a",0.97108843537415,"lasso",24
"Reg_s",0.980442176870748,"lasso",24
"Batch",0.991496598639456,"rf",24
"ComBat",0.979591836734694,"rf",24
"Avg",0.975340136054422,"rf",24
"n_Avg",0.977891156462585,"rf",24
"CS_Avg",0.978741496598639,"rf",24
"Reg_a",0.977891156462585,"rf",24
"Reg_s",0.978741496598639,"rf",24
"Batch",0.874149659863946,"svm",24
"ComBat",0.994897959183673,"svm",24
"Avg",0.98469387755102,"svm",24
"n_Avg",0.988095238095238,"svm",24
"CS_Avg",0.993197278911565,"svm",24
"Reg_a",0.988095238095238,"svm",24
