"variable","value","L1","iteration"
"ComBat",0.911764705882353,"svm",15
"Avg",0.828571428571429,"svm",15
"n_Avg",0.865671641791045,"svm",15
"CS_Avg",0.849315068493151,"svm",15
"Reg_a",0.865671641791045,"svm",15
"Reg_s",0.878787878787879,"svm",15
"Batch",0.861111111111111,"crossmod",15
"ComBat",0.816901408450704,"crossmod",15
"Avg",0.840579710144927,"crossmod",15
"n_Avg",0.865671641791045,"crossmod",15
"CS_Avg",0.873239436619718,"crossmod",15
"Reg_a",0.865671641791045,"crossmod",15
"Reg_s",0.892307692307692,"crossmod",15
"Batch",0.918918918918919,"lasso",16
"ComBat",0.91358024691358,"lasso",16
"Avg",0.929577464788732,"lasso",16
"n_Avg",0.898550724637681,"lasso",16
"CS_Avg",0.948717948717949,"lasso",16
"Reg_a",0.898550724637681,"lasso",16
"Reg_s",0.927536231884058,"lasso",16
"Batch",0.906666666666667,"rf",16
"ComBat",0.906666666666667,"rf",16
"Avg",0.906666666666667,"rf",16
"n_Avg",0.906666666666667,"rf",16
"CS_Avg",0.906666666666667,"rf",16
"Reg_a",0.906666666666667,"rf",16
"Reg_s",0.931506849315069,"rf",16
"Batch",0.837837837837838,"svm",16
"ComBat",0.961038961038961,"svm",16
"Avg",0.931506849315069,"svm",16
"n_Avg",0.931506849315069,"svm",16
"CS_Avg",0.91358024691358,"svm",16
"Reg_a",0.931506849315069,"svm",16
"Reg_s",0.914285714285714,"svm",16
"Batch",0.906666666666667,"crossmod",16
"ComBat",0.906666666666667,"crossmod",16
"Avg",0.944444444444444,"crossmod",16
"n_Avg",0.944444444444444,"crossmod",16
"CS_Avg",0.906666666666667,"crossmod",16
"Reg_a",0.944444444444444,"crossmod",16
"Reg_s",0.944444444444444,"crossmod",16
"Batch",0.931034482758621,"lasso",17
"ComBat",0.805970149253731,"lasso",17
"Avg",0.78125,"lasso",17
"n_Avg",0.819672131147541,"lasso",17
"CS_Avg",0.857142857142857,"lasso",17
"Reg_a",0.819672131147541,"lasso",17
"Reg_s",0.819672131147541,"lasso",17
"Batch",0.866666666666667,"rf",17
"ComBat",0.84375,"rf",17
"Avg",0.84375,"rf",17
"n_Avg",0.870967741935484,"rf",17
"CS_Avg",0.84375,"rf",17
"Reg_a",0.870967741935484,"rf",17
"Reg_s",0.885245901639344,"rf",17
"Batch",0.721311475409836,"svm",17
"ComBat",0.9,"svm",17
"Avg",0.885245901639344,"svm",17
"n_Avg",0.9,"svm",17
"CS_Avg",0.857142857142857,"svm",17
"Reg_a",0.9,"svm",17
"Reg_s",0.931034482758621,"svm",17
"Batch",0.866666666666667,"crossmod",17
"ComBat",0.84375,"crossmod",17
"Avg",0.885245901639344,"crossmod",17
"n_Avg",0.9,"crossmod",17
"CS_Avg",0.870967741935484,"crossmod",17
"Reg_a",0.9,"crossmod",17
"Reg_s",0.947368421052632,"crossmod",17
"Batch",0.933333333333333,"lasso",18
"ComBat",0.9,"lasso",18
"Avg",0.831168831168831,"lasso",18
"n_Avg",0.8,"lasso",18
"CS_Avg",0.935064935064935,"lasso",18
"Reg_a",0.8,"lasso",18
"Reg_s",0.849315068493151,"lasso",18
"Batch",0.921052631578947,"rf",18
"ComBat",0.897435897435897,"rf",18
"Avg",0.9,"rf",18
"n_Avg",0.9,"rf",18
"CS_Avg",0.923076923076923,"rf",18
"Reg_a",0.9,"rf",18
"Reg_s",0.923076923076923,"rf",18
"Batch",0.763157894736842,"svm",18
"ComBat",0.948717948717949,"svm",18
"Avg",0.909090909090909,"svm",18
"n_Avg",0.935064935064935,"svm",18
"CS_Avg",0.936708860759494,"svm",18
"Reg_a",0.935064935064935,"svm",18
"Reg_s",0.947368421052632,"svm",18
"Batch",0.921052631578947,"crossmod",18
"ComBat",0.897435897435897,"crossmod",18
"Avg",0.909090909090909,"crossmod",18
"n_Avg",0.935064935064935,"crossmod",18
"CS_Avg",0.935064935064935,"crossmod",18
"Reg_a",0.935064935064935,"crossmod",18
"Reg_s",0.947368421052632,"crossmod",18
"Batch",0.986301369863014,"lasso",19
"ComBat",0.909090909090909,"lasso",19
"Avg",0.794520547945205,"lasso",19
"n_Avg",0.816901408450704,"lasso",19
"CS_Avg",0.96,"lasso",19
"Reg_a",0.816901408450704,"lasso",19
"Reg_s",0.901408450704225,"lasso",19
"Batch",0.929577464788732,"rf",19
"ComBat",0.891891891891892,"rf",19
"Avg",0.935064935064935,"rf",19
